"","cluster_id","cluster_color","zy_cluster_label","cluster_label","class_id","class_label","class_color","subclass_id","subclass_label","subclass_color","size","ALM","VISp","gene.counts","class_region_label","region_label","subclass_region_label","specific.markers","within.class.markers","within.class.node.markers","sibling.markers","cl","Notes","X","X.1","sst80_cl"
"1",30,"#FFFF00","Sst Chodl","Sst Chodl_1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",143,0.53,0.47,10182,"GABAergic","","Sst","Sit1,Chodl,Krt18,P2rx2","Chodl,Bmp3,Ntn1,Gpr126",NA,NA,31,"",NA,NA,"1"
"2",30,"#FFFF20","Sst Chodl","Sst Chodl_2",1,"GABAergic","#EF4136",4,"Sst","#F15A29",35,0.53,0.47,10182,"GABAergic","","Sst","Sit1,Chodl,Krt18,P2rx2","Chodl,Bmp3,Ntn1,Gpr126",NA,NA,31,"",NA,NA,"2"
"3",33,"#B06411","Sst Tac1 Tacr3","Sst Tac1 Tacr3",1,"GABAergic","#EF4136",4,"Sst","#F15A29",79,0,1,8275,"GABAergic","VISp","Sst VISp","Dcn",NA,NA,NA,32,"",NA,NA,"3"
"4",32,"#804811","Sst Tac1","Sst Tac1 Htr1d",1,"GABAergic","#EF4136",4,"Sst","#F15A29",173,0.47,0.53,9278,"GABAergic","","Sst",NA,"Tac1,Htr1d,Edn1,Mmd2","Tac1,Thbs2,Necab1,Fstl4","Hsdl2,Chrna4,Zfp536,Plxdc2",35,"",NA,NA,"4"
"5",31,"#FFBB33","Sst Etv1 Cdk15","Sst Mme Fam114a1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",69,0.37,0.63,10218,"GABAergic","","Sst","Cryaa,Cdk15","Cdk15,Sox5,Fgf18,Akr1c18","Necab1,Ajap1","Adora1,Hsdl2,Zfp536,Plxdc2",36,"Need second opinion",NA,NA,"5"
"6",35,"#BF480D","Sst Calb2 Slc9a2_1","Sst Calb2 Pdlim5_1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",100,0.5,0.5,9935,"GABAergic","","Sst",NA,"Slc9a2,Pcsk5,Daam2,Calb2","Daam2,Pcsk5,Calb2,Cbln4","Pcsk5,Ptprt",37,"",NA,NA,"6"
"7",35,"#BF482D","Sst Calb2 Slc9a2_1","Sst Calb2 Pdlim5_2",1,"GABAergic","#EF4136",4,"Sst","#F15A29",13,0.5,0.5,9935,"GABAergic","","Sst",NA,"Slc9a2,Pcsk5,Daam2,Calb2","Daam2,Pcsk5,Calb2,Cbln4","Pcsk5,Ptprt",37,"",NA,NA,"7"
"8",35,"#BF684D","Sst Calb2 Slc9a2_1","Sst Calb2 Pdlim5_3",1,"GABAergic","#EF4136",4,"Sst","#F15A29",54,0.5,0.5,9935,"GABAergic","","Sst",NA,"Slc9a2,Pcsk5,Daam2,Calb2","Daam2,Pcsk5,Calb2,Cbln4","Pcsk5,Ptprt",37,"",NA,NA,"8"
"9",35,"#BF680D","Sst Calb2 Slc9a2_1","Sst Calb2 Pdlim5_4",1,"GABAergic","#EF4136",4,"Sst","#F15A29",114,0.5,0.5,9935,"GABAergic","","Sst",NA,"Slc9a2,Pcsk5,Daam2,Calb2","Daam2,Pcsk5,Calb2,Cbln4","Pcsk5,Ptprt",37,"",NA,NA,"9"
"10",34,"#BF282D","Sst Calb2 Slc9a2_2","Sst Calb2 Necab1",1,"GABAergic","#EF4136",4,"Sst","#F15A29",16,0.64,0.36,9449,"GABAergic","","Sst",NA,"Htr1d,Thbs2,Necab1,Mme","Pcsk5,Calb2,Cbln4,Olfm3","Pcsk5,Ptprt",38,"",NA,NA,"10"
